_id,id,PID,activity,comments,start_period,end_period,mon,tue,wed,thur,fri,sat,sun,visible
66166ec496fb1df606179f47,440,5071,Collaborating with cross-functional teams,hac habitasse platea dictumst morbi vestibulum velit id pretium,24-04-2023,19-06-2024,11,11,12,3,12,6,7,FALSE
66166ec496fb1df606179f48,252,5120,Developing a new software,sapien urna pretium nisl ut volutpat sapien arcu sed,26-04-2023,20-06-2024,9,5,11,4,4,5,9,FALSE
66166ec496fb1df606179f49,384,1480,Conducting a network security audit,,03-05-2023,23-06-2024,11,12,3,7,9,12,10,TRUE
66166ec496fb1df606179f4a,138,7397,Optimizing database performance,risus praesent lectus vestibulum quam sapien varius ut blandit,09-05-2023,24-06-2024,6,11,8,11,8,9,12,FALSE
66166ec496fb1df606179f4b,327,5370,Automating repetitive tasks,leo maecenas pulvinar lobortis est phasellus sit,11-05-2023,25-06-2024,5,4,6,11,12,6,3,TRUE
66166ec496fb1df606179f4c,212,4290,Developing a new software,pulvinar lobortis est phasellus sit,11-05-2023,26-06-2024,11,9,3,5,8,4,9,FALSE
66166ec496fb1df606179f4d,202,4370,Deploying a cloud-based solution,cubilia curae nulla dapibus dolor vel est donec odio justo,13-05-2023,26-06-2024,12,9,12,6,9,4,12,FALSE
66166ec596fb1df606179f4e,126,1950,Setting up a project management tool,risus dapibus augue vel accumsan,22-05-2023,28-06-2024,11,12,8,10,10,4,10,TRUE
66166ec596fb1df606179f4f,315,2041,Documenting software requirements,elit sodales scelerisque mauris sit,23-05-2023,28-06-2024,11,5,9,10,8,3,9,FALSE
66166ec596fb1df606179f50,437,1402,Conducting a network security audit,,25-05-2023,29-06-2024,10,12,4,5,12,12,11,TRUE
66166ec596fb1df606179f51,172,5430,Integrating third-party APIs,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,31-05-2023,02-07-2024,3,5,11,3,3,10,11,FALSE
66166ec596fb1df606179f52,395,1062,Integrating third-party APIs,,01-06-2023,04-07-2024,11,9,11,10,3,7,8,TRUE
66166ec596fb1df606179f53,267,4650,Implementing a cybersecurity solution,,04-06-2023,06-07-2024,12,10,11,4,6,6,3,TRUE
66166ec596fb1df606179f54,298,2960,Analyzing data,,04-06-2023,07-07-2024,7,10,11,7,8,7,10,FALSE
66166ec596fb1df606179f55,451,5630,technical support,vestibulum proin eu mi nulla,05-06-2023,13-07-2024,8,5,10,4,3,4,9,TRUE
66166ec596fb1df606179f56,77,6150,Troubleshooting network connectivity issues,,07-06-2023,16-07-2024,10,6,4,7,12,7,11,FALSE
66166ec596fb1df606179f57,428,4970,Documenting software requirements,vestibulum quam sapien varius ut,12-06-2023,18-07-2024,9,3,3,5,11,6,8,TRUE
66166ec596fb1df606179f58,130,1640,Training employees on a new software system,donec diam neque vestibulum eget,13-06-2023,20-07-2024,11,7,9,9,10,3,8,FALSE
66166ec596fb1df606179f59,368,2160,Setting up a project management tool,,18-06-2023,22-07-2024,3,4,12,7,4,8,4,FALSE
66166ec596fb1df606179f5a,178,2390,Implementing a cybersecurity solution,,18-06-2023,22-07-2024,6,11,3,4,11,7,11,FALSE
66166ec596fb1df606179f5b,481,1420,Optimizing database performance,eleifend luctus ultricies eu nibh quisque id justo sit amet,22-06-2023,25-07-2024,9,3,9,12,9,4,4,FALSE
66166ec596fb1df606179f5c,7,5970,Training employees on a new software system,,22-06-2023,28-07-2024,11,3,5,7,3,3,8,TRUE
66166ec596fb1df606179f5d,489,5091,Integrating third-party APIs,,23-06-2023,30-07-2024,4,6,7,11,11,3,7,TRUE
66166ec596fb1df606179f5e,155,2940,Implementing a cybersecurity solution,sapien varius ut blandit non interdum in,25-06-2023,01-08-2024,11,9,5,6,5,3,9,FALSE
66166ec596fb1df606179f5f,480,1520,Collaborating with cross-functional teams,,26-06-2023,06-08-2024,9,10,8,5,3,8,5,TRUE
66166ec596fb1df606179f60,409,5031,Performing code reviews,,30-06-2023,07-08-2024,8,8,9,9,9,10,6,FALSE
66166ec596fb1df606179f61,462,5960,Automating repetitive tasks,,02-07-2023,09-08-2024,12,3,8,11,11,3,5,TRUE
66166ec596fb1df606179f62,30,5140,Creating a mobile app prototype,convallis tortor risus dapibus augue vel,02-07-2023,10-08-2024,9,9,10,10,8,7,8,FALSE
66166ec596fb1df606179f63,288,1032,Troubleshooting network connectivity issues,,03-07-2023,11-08-2024,8,6,11,3,3,9,6,TRUE
66166ec596fb1df606179f64,147,6780,Conducting a network security audit,augue luctus tincidunt nulla mollis molestie,05-07-2023,17-08-2024,5,8,5,9,4,5,11,TRUE
66166ec596fb1df606179f65,381,4950,Testing a website,,07-07-2023,20-08-2024,4,9,3,6,5,5,12,FALSE
66166ec596fb1df606179f66,461,1430,Configuring virtual machines,,07-07-2023,23-08-2024,11,9,12,5,10,10,11,FALSE
66166ec596fb1df606179f67,229,1602,Designing a user interface,,14-07-2023,25-08-2024,8,11,10,6,3,7,8,TRUE
66166ec596fb1df606179f68,279,2170,Migrating data to a new server,,15-07-2023,31-08-2024,8,7,10,9,10,7,9,FALSE
66166ec596fb1df606179f69,344,2350,Collaborating with cross-functional teams,lobortis sapien sapien non mi integer,15-07-2023,03-09-2024,7,4,11,10,6,8,12,FALSE
66166ec596fb1df606179f6a,220,7728,Configuring virtual machines,tempor turpis nec euismod scelerisque quam,15-07-2023,03-09-2024,6,9,7,10,11,12,10,TRUE
66166ec596fb1df606179f6b,73,4620,Collaborating with cross-functional teams,parturient montes nascetur ridiculus mus,23-07-2023,08-09-2024,3,11,4,4,9,5,9,TRUE
66166ec596fb1df606179f6c,134,7543,Creating a mobile app prototype,amet nulla quisque arcu libero,27-07-2023,10-09-2024,7,12,7,10,11,3,6,FALSE
66166ec596fb1df606179f6d,241,1790,Automating repetitive tasks,,30-07-2023,15-09-2024,5,8,5,12,10,8,5,FALSE
66166ec696fb1df606179f6e,227,1930,Documenting software requirements,,31-07-2023,18-09-2024,5,7,3,9,4,4,4,FALSE
66166ec696fb1df606179f6f,293,2950,Conducting a network security audit,,31-07-2023,20-09-2024,9,9,3,8,8,5,3,TRUE
66166ec696fb1df606179f70,238,1980,Migrating data to a new server,,02-08-2023,21-09-2024,3,7,9,7,3,6,3,TRUE
66166ec696fb1df606179f71,30,4801,Collaborating with cross-functional teams,,03-08-2023,21-09-2024,4,8,11,5,6,12,3,FALSE
66166ec696fb1df606179f72,384,4701,Analyzing data,,04-08-2023,29-09-2024,9,12,6,5,11,11,8,TRUE
66166ec696fb1df606179f73,40,7021,Deploying a cloud-based solution,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,06-08-2023,30-09-2024,8,8,8,8,9,10,7,TRUE
66166ec696fb1df606179f74,70,6420,Setting up a project management tool,lobortis vel dapibus at diam,11-08-2023,01-10-2024,3,4,4,4,5,5,3,TRUE
66166ec696fb1df606179f75,478,5670,Documenting software requirements,,14-08-2023,03-10-2024,9,4,11,8,12,12,11,FALSE
66166ec696fb1df606179f76,124,5690,Conducting a network security audit,,14-08-2023,04-10-2024,3,5,11,4,3,10,3,FALSE
66166ec696fb1df606179f77,407,1820,Optimizing database performance,,15-08-2023,15-10-2024,10,10,10,6,3,4,9,TRUE
66166ec696fb1df606179f78,197,4350,Training employees on a new software system,in lectus pellentesque at nulla suspendisse potenti cras in,17-08-2023,18-10-2024,8,7,8,7,3,12,5,FALSE
66166ec696fb1df606179f79,278,5071,Implementing a cybersecurity solution,,25-08-2023,18-10-2024,12,11,8,10,4,5,3,TRUE
66166ec696fb1df606179f7a,474,7450,Migrating data to a new server,massa tempor convallis nulla neque,27-08-2023,28-10-2024,10,11,6,5,6,4,9,TRUE
66166ec696fb1df606179f7b,341,7582,Creating a mobile app prototype,,27-08-2023,30-10-2024,9,3,4,3,7,7,7,TRUE
66166ec696fb1df606179f7c,497,2410,technical support,massa tempor convallis nulla neque libero convallis,28-08-2023,02-11-2024,8,3,5,9,11,5,8,TRUE
66166ec696fb1df606179f7d,108,7291,Deploying a cloud-based solution,eros suspendisse accumsan tortor quis turpis sed ante vivamus,29-08-2023,03-11-2024,4,12,11,4,12,5,3,FALSE
66166ec696fb1df606179f7e,1,4960,Deploying a cloud-based solution,,31-08-2023,08-11-2024,8,5,7,3,8,3,3,TRUE
66166ec696fb1df606179f7f,189,5031,Creating a mobile app prototype,,03-09-2023,14-11-2024,8,9,8,12,12,6,6,TRUE
66166ec696fb1df606179f80,124,2870,Designing a user interface,,04-09-2023,18-11-2024,9,12,4,6,6,8,8,FALSE
66166ec696fb1df606179f81,496,7106,Creating a mobile app prototype,semper est quam pharetra magna ac consequat metus,05-09-2023,18-11-2024,3,5,4,4,4,8,3,FALSE
66166ec696fb1df606179f82,341,1640,Testing a website,,09-09-2023,21-11-2024,4,9,7,6,7,12,10,FALSE
66166ec696fb1df606179f83,213,2960,technical support,diam neque vestibulum eget vulputate ut ultrices,12-09-2023,22-11-2024,10,11,3,11,9,8,6,FALSE
66166ec796fb1df606179f84,104,6320,Configuring virtual machines,,16-09-2023,26-11-2024,5,6,8,8,8,6,10,FALSE
66166ec796fb1df606179f85,287,4280,Conducting a network security audit,,18-09-2023,29-11-2024,5,10,7,9,11,12,8,TRUE
66166ec796fb1df606179f86,205,2401,Collaborating with cross-functional teams,in leo maecenas pulvinar lobortis,19-09-2023,01-12-2024,12,6,9,7,3,12,5,TRUE
66166ec796fb1df606179f87,295,1032,technical support,,22-09-2023,01-12-2024,8,7,6,10,4,6,7,FALSE
66166ec796fb1df606179f88,155,7199,Testing a website,,23-09-2023,01-12-2024,4,8,3,10,7,7,11,TRUE
66166ec796fb1df606179f89,340,1680,Migrating data to a new server,non mauris morbi non lectus,24-09-2023,07-12-2024,6,12,11,4,6,4,5,FALSE
66166ec796fb1df606179f8a,414,4560,Testing a website,platea dictumst etiam faucibus cursus urna ut tellus nulla ut,27-09-2023,09-12-2024,10,5,4,9,12,11,5,TRUE
66166ec796fb1df606179f8b,352,6350,Analyzing data,,03-10-2023,11-12-2024,4,9,8,5,3,4,6,TRUE
66166ec796fb1df606179f8c,27,1960,Deploying a cloud-based solution,,04-10-2023,11-12-2024,10,4,4,4,9,11,7,TRUE
66166ec796fb1df606179f8d,262,1430,Documenting software requirements,ac nibh fusce lacus purus aliquet at,06-10-2023,13-12-2024,12,9,10,9,3,11,5,TRUE
66166ec796fb1df606179f8e,157,1690,Optimizing database performance,,06-10-2023,22-12-2024,11,3,5,10,6,11,8,TRUE
66166ec796fb1df606179f8f,485,6870,Automating repetitive tasks,,07-10-2023,28-12-2024,12,9,3,8,9,7,7,TRUE
66166ec796fb1df606179f90,191,2830,Integrating third-party APIs,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,09-10-2023,29-12-2024,10,11,9,11,5,12,3,TRUE
66166ec796fb1df606179f91,110,6370,Collaborating with cross-functional teams,,14-10-2023,03-01-2025,10,10,7,11,4,7,6,TRUE
66166ec796fb1df606179f92,47,3920,technical support,dolor vel est donec odio justo sollicitudin ut suscipit,15-10-2023,07-01-2025,7,4,7,7,11,10,8,FALSE
66166ec796fb1df606179f93,119,7012,Performing code reviews,,18-10-2023,08-01-2025,8,11,10,11,4,11,11,FALSE
66166ec796fb1df606179f94,192,7662,Performing code reviews,aliquam sit amet diam in magna bibendum,20-10-2023,10-01-2025,7,6,11,5,11,3,7,FALSE
66166ec796fb1df606179f95,312,6501,Optimizing database performance,,22-10-2023,18-01-2025,3,12,5,5,11,3,12,FALSE
66166ec896fb1df606179f96,229,3901,Implementing a cybersecurity solution,,31-10-2023,21-01-2025,4,12,8,8,4,11,7,FALSE
66166ec896fb1df606179f97,91,4960,Implementing a cybersecurity solution,,02-11-2023,26-01-2025,9,9,12,8,10,3,3,FALSE
66166ec896fb1df606179f98,458,2701,Training employees on a new software system,,02-11-2023,28-01-2025,6,3,8,5,12,9,3,FALSE
66166ec896fb1df606179f99,103,2970,Conducting a network security audit,in quam fringilla rhoncus mauris enim leo rhoncus,05-11-2023,30-01-2025,8,7,10,8,3,6,5,TRUE
66166ec896fb1df606179f9a,153,7371,Migrating data to a new server,augue aliquam erat volutpat in congue etiam,09-11-2023,05-02-2025,5,11,3,11,11,12,8,FALSE
66166ec896fb1df606179f9b,62,1702,Optimizing database performance,,17-11-2023,11-02-2025,7,12,4,12,3,5,11,TRUE
66166ec896fb1df606179f9c,190,6071,Performing code reviews,,23-11-2023,13-02-2025,3,10,3,5,3,5,5,TRUE
66166ec896fb1df606179f9d,200,7146,Developing a new software,ut ultrices vel augue vestibulum ante ipsum,23-11-2023,17-02-2025,9,9,3,9,8,4,12,TRUE
66166ec896fb1df606179f9e,295,6830,Integrating third-party APIs,,24-11-2023,18-02-2025,10,6,9,5,12,8,9,TRUE
66166ec896fb1df606179f9f,82,7609,Training employees on a new software system,luctus cum sociis natoque penatibus et magnis dis,26-11-2023,23-02-2025,3,6,5,12,10,6,8,FALSE
66166ec896fb1df606179fa0,215,7080,Optimizing database performance,tempor turpis nec euismod scelerisque quam turpis adipiscing lorem,02-12-2023,23-02-2025,3,8,12,5,4,3,9,TRUE
66166ec896fb1df606179fa1,416,6480,Implementing a cybersecurity solution,,05-12-2023,26-02-2025,9,7,8,12,9,8,12,FALSE
66166ec896fb1df606179fa2,326,6250,Documenting software requirements,,17-12-2023,02-03-2025,7,6,8,5,4,4,9,FALSE
66166ec896fb1df606179fa3,49,5390,Configuring virtual machines,mauris ullamcorper purus sit amet nulla,17-12-2023,13-03-2025,4,7,4,11,4,3,11,TRUE
66166ec896fb1df606179fa4,198,5021,Creating a mobile app prototype,,23-12-2023,13-03-2025,8,10,5,11,12,5,3,TRUE
66166ec896fb1df606179fa5,186,2081,Migrating data to a new server,,28-12-2023,14-03-2025,8,10,12,4,11,3,12,FALSE
66166ec896fb1df606179fa6,402,1650,Implementing a cybersecurity solution,odio porttitor id consequat in consequat ut nulla sed,31-12-2023,15-03-2025,3,6,9,5,3,5,12,FALSE
66166ec896fb1df606179fa7,248,4590,Migrating data to a new server,,31-12-2023,20-03-2025,12,10,5,10,7,6,5,FALSE
66166ec896fb1df606179fa8,280,2910,Troubleshooting network connectivity issues,,09-01-2024,20-03-2025,6,5,3,3,8,9,6,FALSE
66166ec896fb1df606179fa9,158,6102,Conducting a network security audit,,13-01-2024,23-03-2025,4,9,6,9,10,11,8,FALSE
66166ec896fb1df606179faa,318,4250,Training employees on a new software system,lacinia eget tincidunt eget tempus vel pede morbi porttitor,13-01-2024,24-03-2025,3,7,6,9,5,7,3,TRUE
66166ec896fb1df606179fab,451,5320,Setting up a project management tool,,19-01-2024,24-03-2025,3,6,7,6,4,10,7,FALSE
66166ec896fb1df606179fac,409,5640,Performing code reviews,eu felis fusce posuere felis,19-01-2024,25-03-2025,9,11,12,11,5,12,6,TRUE
66166ec896fb1df606179fad,278,2690,Implementing a cybersecurity solution,venenatis lacinia aenean sit amet,21-01-2024,26-03-2025,11,5,3,10,7,6,4,TRUE
66166ec896fb1df606179fae,297,2460,Collaborating with cross-functional teams,,23-01-2024,29-03-2025,3,12,12,3,8,8,7,TRUE
66166ec896fb1df606179faf,250,6490,Analyzing data,,24-01-2024,31-03-2025,5,7,7,7,10,3,7,FALSE
66166ec896fb1df606179fb0,218,2790,technical support,non quam nec dui luctus rutrum nulla tellus in sagittis,25-01-2024,03-04-2025,8,9,7,6,7,6,5,FALSE
66166ec896fb1df606179fb1,69,6780,Migrating data to a new server,,29-01-2024,05-04-2025,8,3,9,12,12,4,12,FALSE
66166ec896fb1df606179fb2,115,2190,Configuring virtual machines,,30-01-2024,05-04-2025,4,7,10,3,5,3,11,FALSE
66166ec896fb1df606179fb3,199,7582,Troubleshooting network connectivity issues,,31-01-2024,11-04-2025,10,6,3,4,5,6,5,TRUE
66166ec896fb1df606179fb4,368,6390,Collaborating with cross-functional teams,,02-02-2024,11-04-2025,3,12,6,9,10,4,8,FALSE
66166ec896fb1df606179fb5,462,1370,Implementing a cybersecurity solution,,03-02-2024,12-04-2025,10,10,12,8,12,3,9,TRUE
66166ec896fb1df606179fb6,485,2760,Conducting a network security audit,duis at velit eu est congue,11-02-2024,15-04-2025,7,3,8,12,7,4,5,TRUE
66166ec996fb1df606179fb7,500,7291,Migrating data to a new server,,12-02-2024,15-04-2025,10,6,5,3,9,10,9,FALSE
66166ec996fb1df606179fb8,193,7039,Analyzing data,,14-02-2024,17-04-2025,5,10,10,5,7,4,12,FALSE
66166ec996fb1df606179fb9,435,1630,Optimizing database performance,platea dictumst maecenas ut massa,15-02-2024,18-04-2025,9,4,12,10,8,3,11,FALSE
66166ec996fb1df606179fba,100,1690,Setting up a project management tool,,16-02-2024,21-04-2025,4,11,12,5,3,5,5,TRUE
66166ec996fb1df606179fbb,103,5980,Collaborating with cross-functional teams,,16-02-2024,21-04-2025,9,6,11,7,12,7,7,TRUE
66166ec996fb1df606179fbc,257,4360,Testing a website,molestie sed justo pellentesque viverra pede,19-02-2024,22-04-2025,3,12,9,9,12,12,9,FALSE
66166ec996fb1df606179fbd,232,2130,Conducting a network security audit,risus dapibus augue vel accumsan tellus,23-02-2024,22-04-2025,3,8,8,11,9,7,11,FALSE
66166ec996fb1df606179fbe,413,6041,Implementing a cybersecurity solution,hac habitasse platea dictumst morbi vestibulum velit id,24-02-2024,26-04-2025,4,9,6,9,8,3,10,FALSE
66166ec996fb1df606179fbf,116,2901,Analyzing data,,24-02-2024,27-04-2025,10,11,4,5,10,12,12,TRUE
66166ec996fb1df606179fc0,213,2610,Automating repetitive tasks,,26-02-2024,04-05-2025,4,3,10,7,3,7,7,TRUE
66166ec996fb1df606179fc1,497,6021,Implementing a cybersecurity solution,,29-02-2024,16-05-2025,10,11,10,11,6,9,6,TRUE
66166ec996fb1df606179fc2,222,4570,Implementing a cybersecurity solution,,01-03-2024,22-05-2025,9,8,4,8,11,10,10,FALSE
66166ec996fb1df606179fc3,451,6081,Developing a new software,ipsum ac tellus semper interdum,03-03-2024,24-05-2025,9,11,3,3,11,12,3,FALSE
66166ec996fb1df606179fc4,377,2013,Conducting a network security audit,,08-03-2024,26-05-2025,12,10,4,6,5,11,5,TRUE
66166ec996fb1df606179fc5,37,2540,Testing a website,,25-03-2024,26-05-2025,12,8,3,9,8,4,10,FALSE
66166ec996fb1df606179fc6,417,5970,Migrating data to a new server,,27-03-2024,27-05-2025,3,6,6,11,10,3,8,TRUE
66166ec996fb1df606179fc7,20,1402,Collaborating with cross-functional teams,semper interdum mauris ullamcorper purus sit amet nulla quisque arcu,02-04-2024,27-05-2025,7,10,12,4,9,11,5,FALSE
66166ec996fb1df606179fc8,465,7397,Developing a new software,,04-04-2024,02-06-2025,7,7,5,5,4,5,7,FALSE
66166ec996fb1df606179fc9,39,4810,Integrating third-party APIs,,06-04-2024,03-06-2025,10,4,8,4,12,8,11,TRUE
66166ec996fb1df606179fca,91,2730,Setting up a project management tool,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,06-04-2024,05-06-2025,6,11,4,6,8,12,7,TRUE
66166ec996fb1df606179fcb,180,6201,Integrating third-party APIs,,06-04-2024,06-06-2025,3,11,7,8,10,6,11,TRUE
66166ec996fb1df606179fcc,63,6980,Training employees on a new software system,pede morbi porttitor lorem id ligula suspendisse ornare consequat,20-04-2024,16-06-2025,11,12,10,8,3,12,12,FALSE
66166ec996fb1df606179fcd,467,4390,Training employees on a new software system,,20-04-2024,19-06-2025,11,11,12,5,4,6,7,TRUE
66166ec996fb1df606179fce,360,5420,Deploying a cloud-based solution,,24-04-2024,19-06-2025,7,5,3,11,7,5,8,FALSE
66166ec996fb1df606179fcf,132,2540,Creating a mobile app prototype,,27-04-2024,21-06-2025,3,6,10,11,10,4,6,TRUE
66166ec996fb1df606179fd0,166,4610,Optimizing database performance,vestibulum rutrum rutrum neque aenean,29-04-2024,23-06-2025,11,7,8,7,12,8,11,TRUE
66166ec996fb1df606179fd1,427,4250,Designing a user interface,,29-04-2024,24-06-2025,3,12,5,8,11,11,4,FALSE
66166ec996fb1df606179fd2,205,2560,Developing a new software,,30-04-2024,03-07-2025,10,11,10,3,7,8,6,FALSE
66166ec996fb1df606179fd3,126,6390,Troubleshooting network connectivity issues,,02-05-2024,05-07-2025,6,5,3,9,10,5,7,FALSE
66166ec996fb1df606179fd4,171,2690,Optimizing database performance,,03-05-2024,16-07-2025,9,12,5,9,12,4,5,FALSE
66166ec996fb1df606179fd5,211,1902,Collaborating with cross-functional teams,quis lectus suspendisse potenti in eleifend quam a odio in,06-05-2024,19-07-2025,8,4,3,11,8,12,6,TRUE
66166ec996fb1df606179fd6,447,2690,Troubleshooting network connectivity issues,eu est congue elementum in hac habitasse platea,07-05-2024,24-07-2025,5,4,8,10,6,12,5,TRUE
66166ec996fb1df606179fd7,91,4250,Analyzing data,proin risus praesent lectus vestibulum quam sapien varius ut blandit,10-05-2024,26-07-2025,4,11,9,7,12,7,7,TRUE
66166ec996fb1df606179fd8,241,5470,Deploying a cloud-based solution,,11-05-2024,27-07-2025,5,11,12,5,7,10,6,TRUE
66166eca96fb1df606179fd9,202,6910,Designing a user interface,,12-05-2024,31-07-2025,11,3,10,5,3,5,3,FALSE
66166eca96fb1df606179fda,349,1890,Performing code reviews,,13-05-2024,03-08-2025,12,11,9,6,12,8,6,FALSE
66166eca96fb1df606179fdb,202,6290,Developing a new software,,14-05-2024,06-08-2025,9,12,11,12,8,10,10,TRUE
66166eca96fb1df606179fdc,412,4201,Developing a new software,,22-05-2024,14-08-2025,3,5,5,4,3,4,11,FALSE
66166eca96fb1df606179fdd,490,6810,Training employees on a new software system,lectus aliquam sit amet diam in,22-05-2024,14-08-2025,12,6,9,7,4,9,7,TRUE
66166eca96fb1df606179fde,220,2710,Optimizing database performance,,23-05-2024,16-08-2025,12,10,12,10,7,8,3,FALSE
66166eca96fb1df606179fdf,31,5230,Documenting software requirements,pretium iaculis diam erat fermentum justo nec condimentum,23-05-2024,17-08-2025,4,4,12,3,3,6,8,TRUE
66166eca96fb1df606179fe0,154,2560,Creating a mobile app prototype,accumsan odio curabitur convallis duis,25-05-2024,19-08-2025,3,5,6,12,4,9,10,FALSE
66166eca96fb1df606179fe1,462,2910,Migrating data to a new server,,26-05-2024,20-08-2025,10,12,6,6,12,12,3,TRUE
66166eca96fb1df606179fe2,478,2350,Analyzing data,ipsum primis in faucibus orci luctus et,27-05-2024,29-08-2025,11,6,8,7,3,4,6,TRUE
66166eca96fb1df606179fe3,297,4970,Implementing a cybersecurity solution,,31-05-2024,06-09-2025,5,5,11,4,11,9,7,TRUE
66166eca96fb1df606179fe4,164,2031,Automating repetitive tasks,nulla nunc purus phasellus in felis donec semper,31-05-2024,07-09-2025,11,4,8,12,5,8,8,FALSE
66166eca96fb1df606179fe5,444,7410,Conducting a network security audit,nulla tempus vivamus in felis eu sapien,01-06-2024,09-09-2025,6,11,5,3,8,9,7,TRUE
66166eca96fb1df606179fe6,202,7252,Migrating data to a new server,eu felis fusce posuere felis sed lacus,01-06-2024,14-09-2025,11,11,6,10,6,7,5,TRUE
66166eca96fb1df606179fe7,445,6480,Developing a new software,erat volutpat in congue etiam justo etiam,01-06-2024,16-09-2025,10,8,5,7,10,9,6,TRUE
